Id,RecordTypeId,Name,IsPersonAccount,LastName,FirstName,Salutation,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,AccountSource,SicDesc,OperatingHoursId,HealthCloudGA__Active__c,HealthCloudGA__CarePlan__c,HealthCloudGA__Disabled__c,HealthCloudGA__EnrollmentType__c,HealthCloudGA__IndividualId__c,HealthCloudGA__IndividualType__c,HealthCloudGA__Institution__c,HealthCloudGA__LowIncome__c,HealthCloudGA__MedicaidEligibilityStatus__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__MedicareEnrollee__c,HealthCloudGA__OREC__c,HealthCloudGA__PayerType__c,HealthCloudGA__PrimaryContact__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__TaxId__c,HealthCloudGA__ConvertedReferrals__pc,HealthCloudGA__CountryOfBirth__pc,HealthCloudGA__DeceasedDate__pc,HealthCloudGA__Gender__pc,HealthCloudGA__IndividualType__pc,HealthCloudGA__MedicalRecordNumber__pc,HealthCloudGA__PreferredName__pc,HealthCloudGA__PrimaryLanguage__pc,HealthCloudGA__SecondaryLanguage__pc,HealthCloudGA__SourceSystemId__pc,HealthCloudGA__SourceSystem__pc,HealthCloudGA__TotalReferrals__pc,Parent.Name,PersonIndividual.Name,OperatingHours.Name,HealthCloudGA__CarePlan__r.Subject,HealthCloudGA__PrimaryContact__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0015e00000EsKn0AAF,0125e000001kk7SAAQ,Kanaka Pharmaceuticals,false,,,,,,50 Fremont st,San Francisco,CA,94105,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,,,false,false,false,,,,,,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmzAAF,0125e000001kk7SAAQ,Uber,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,,,false,false,false,,,,,,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmyAAF,0125e000001kk7TAAQ,Charles Green Household,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,,Group,false,false,false,,,,,,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,,IndustriesHousehold;HealthCloudGA;Account
0015e00000EsKmxAAF,0125e000001kk7SAAQ,Makana Clinic*,false,,,,Other,,1704 Maple Ave Suite 100,Evanston,IL,60201,USA,,,,1704 Maple Ave Suite 100,Evanston,IL,60201,USA,,,,7734567890,7734567891,,Healthcare,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001avQ2fQAE1560287374789,,false,false,false,,,,,0035e00000CZzMlAAL,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Amy Huffman,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmsAAF,0125e000001kk7SAAQ,Sarah Loehr,false,,,,,,1 Jones Ave,New York,NY,10010,United States,,,,,,,,,,,,5555551212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005e000006U2wlAAC,false,NonDual,0013A00001a13tQQAQ1551459207786,,false,false,false,,,,,0035e00000CZzMkAAL,,Health1-00D5e000003TG6b,,,,,,,,,,,,,,,,,Sarah Loehr's Care Plan,Sarah Loehr,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmrAAF,0125e000001kk7SAAQ,Florence Canna,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdvgQAD1549606247945,,false,false,false,,,,,0035e00000CZzMjAAL,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Florence Canna,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmqAAF,0125e000001kk7SAAQ,Bob Smith,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdvWQAT1549606209645,,false,false,false,,,,,0035e00000CZzMiAAL,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Bob Smith,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmpAAF,0125e000001kk7SAAQ,Charles Manning,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdvHQAT1549603154047,,false,false,false,,,,,,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmoAAF,0125e000001kk7SAAQ,Cara Owens,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdvCQAT1549602899275,,false,false,false,,,,,0035e00000CZzMcAAL,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Cara Owens,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmiAAF,0125e000001kk7SAAQ,Charles Green,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005e000006U2wgAAC,false,NonDual,0013600000Pnt9JAAR1466440000419,,false,false,false,235-44229-3,,,,0035e00000CZzM9AAL,,Health1-00D36000001E03d,,,,,,,,,,,,,,,,,Charles Green's Care Plan,Charles Green,IndustriesBusiness;HealthCloudGA;Account
