Id,RecordTypeId,Name,IsPersonAccount,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,HealthCloudGA__ConvertedReferrals__c,HealthCloudGA__CountryOfBirth__c,HealthCloudGA__DeceasedDate__c,HealthCloudGA__Gender__c,HealthCloudGA__IndividualType__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__PreferredName__c,HealthCloudGA__PrimaryLanguage__c,HealthCloudGA__SecondaryLanguage__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__TotalReferrals__c,Account.Name,ReportsTo.Name,Individual.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0035e00000CZzMWAA1,0125e000001kk7ZAAQ,Ben Green,false,0015e00000EsKmjAAF,Green,Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,Ben Green,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMXAA1,0125e000001kk7ZAAQ,"John Smith, MD",false,0015e00000EsKmkAAF,"Smith, MD",John,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,One Medical Group Inc,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMYAA1,0125e000001kk7ZAAQ,Michael White,false,0015e00000EsKmlAAF,White,Michael,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,Ohana Health System,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMZAA1,0125e000001kk7ZAAQ,Charles Manning,false,0015e00000EsKmmAAF,Manning,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,Charles Manning,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMaAAL,0125e000001kk7ZAAQ,George Michael,false,0015e00000EsKmnAAF,Michael,George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,George Michael,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMbAAL,0125e000001kk7YAAQ,Marla Kissinger,false,0015e00000EsKmlAAF,Kissinger,Marla,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,Ohana Health System,,,IndustriesBusiness;HealthCloudGA;Contact
0035e00000CZzMcAAL,0125e000001kk7ZAAQ,Cara Owens,false,0015e00000EsKmoAAF,Owens,Cara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,Cara Owens,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMdAAL,0125e000001kk7ZAAQ,Charles Manning,false,0015e00000EsKmmAAF,Manning,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,Charles Manning,,,IndustriesIndividual;HealthCloudGA;Contact
0035e00000CZzMeAAL,0125e000001kk7YAAQ,Carol Peterson,false,0015e00000EsKmkAAF,Peterson,Carol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,One Medical Group Inc,,,IndustriesBusiness;HealthCloudGA;Contact
0035e00000CZzMfAAL,0125e000001kk7YAAQ,"Mina Patel, MD",false,0015e00000EsKmkAAF,"Patel, MD",Mina,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,One Medical Group Inc,,,IndustriesBusiness;HealthCloudGA;Contact
