RecordTypeId,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,HealthCloudGA__ConvertedReferrals__c,HealthCloudGA__CountryOfBirth__c,HealthCloudGA__DeceasedDate__c,HealthCloudGA__Gender__c,HealthCloudGA__IndividualType__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__PreferredName__c,HealthCloudGA__PrimaryLanguage__c,HealthCloudGA__SecondaryLanguage__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__TotalReferrals__c,Errors,Id
0125e000001DvsHAAS,0015e00000Gc3VzAAJ,Green,Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqScAAJ
0125e000001DvsHAAS,0015e00000Gc3VyAAJ,"Smith, MD",John,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSdAAJ
0125e000001DvsHAAS,0015e00000Gc3VxAAJ,White,Michael,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSeAAJ
0125e000001DvsHAAS,0015e00000Gc3VwAAJ,Manning,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSfAAJ
0125e000001DvsHAAS,0015e00000Gc3VvAAJ,Michael,George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSgAAJ
0125e000001DvsGAAS,0015e00000Gc3VxAAJ,Kissinger,Marla,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqShAAJ
0125e000001DvsHAAS,0015e00000Gc3VnAAJ,Owens,Cara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSiAAJ
0125e000001DvsHAAS,0015e00000Gc3VwAAJ,Manning,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSjAAJ
0125e000001DvsGAAS,0015e00000Gc3VyAAJ,Peterson,Carol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSkAAJ
0125e000001DvsGAAS,0015e00000Gc3VyAAJ,"Patel, MD",Mina,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSlAAJ
0125e000001DvsHAAS,0015e00000Gc3NKAAZ,Huffman,Amy,Dr.,718 Glenview Ave,Highland Park,IL,60035-2432,USA,,,,718 Glenview Ave,Highland Park,IL,60035-2432,USA,,,,(312) 555-1212,(408) 555-1277,(408) 555-1216,,,,amyhuffman@gmail.com,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSmAAJ
0125e000001DvsGAAS,0015e00000Gc3VxAAJ,"Secemsky, MD",Tony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSnAAJ
0125e000001DvsGAAS,0015e00000Gc3VxAAJ,Grossman,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSoAAJ
0125e000001DvsHAAS,0015e00000Gc3VlAAJ,Smith,Bob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSpAAJ
0125e000001DvsHAAS,0015e00000Gc3VkAAJ,Canna,Florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D1I000003oKaz,,,0035e00000CpqSqAAJ
0125e000001DvsHAAS,0015e00000Gc3VjAAJ,Loehr,Sarah,,,,,,,,,,1 Jones Ave,New York,NY,10010,United States,,,,5555551212,,,,,,info@salesforce.com,,,,,,,,,,,,United States,,,Individual,,,English,English,,Health1-00D5e000003TG6b,,,0035e00000CpqSrAAJ
0125e000001DvsHAAS,0015e00000Gc3VsAAJ,Green,Shawna,,,,,,,,,,123 Mission St,San Francisco,,,USA,,,,,,,,,,,,,,,1948-08-04,,,,,,,United States,,,Individual,2361124,,English,English,,Health1-00D36000001E03d,,,0035e00000CpqSsAAJ
0125e000001DvsHAAS,0015e00000Gc3VrAAJ,Morrison,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959-04-21,,,,,,,United States,,,Individual,2365592,,English,English,,Health1-00D36000001E03d,,,0035e00000CpqStAAJ
0125e000001DvsHAAS,0015e00000Gc3VqAAJ,Hamilton,Jane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-09-17,,,,,,,United States,,,Individual,987-654321-7,,English,English,,Health1-00D36000001E03d,,,0035e00000CpqSuAAJ
0125e000001DvsHAAS,0015e00000Gc3VpAAJ,Campbell,Janet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980-01-11,,,,,,,United States,,,Individual,987-654321-11,,English,English,,Health1-00D36000001E03d,,,0035e00000CpqSvAAJ
0125e000001DvsHAAS,0015e00000Gc3VoAAJ,Green,Charles,,,,,,,,,,1 Market St,San Francisco,,94105,USA,,,,,,,,,,trollings@salesforce.com,,,,,1963-10-25,,,,,,,United States,,,Individual,2354422,,English,English,,Health1-00D36000001E03d,,,0035e00000CpqSwAAJ
