Id,RecordTypeId,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,HealthCloudGA__ConvertedReferrals__c,HealthCloudGA__CountryOfBirth__c,HealthCloudGA__DeceasedDate__c,HealthCloudGA__Gender__c,HealthCloudGA__IndividualType__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__PreferredName__c,HealthCloudGA__PrimaryLanguage__c,HealthCloudGA__SecondaryLanguage__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__TotalReferrals__c,Errors
0035e00000CmVdkAAF,,0015e00000GWHRmAAP,Barr,Tim,Mr.,,,,,,,,,"2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1230,,,,barr_tim@grandhotels.com,"SVP, Administration and Finance",Finance,,External Referral,1955-02-25,,,,,,,,,,,,,,,,,,
0035e00000CmVdlAAF,,0015e00000GWHRmAAP,Bond,John,Mr.,,,,,,,,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1563,,,,bond_john@grandhotels.com,"VP, Facilities",Facilities,,External Referral,1957-05-08,,,,,,,,,,,,,,,,,,
0035e00000CmVdmAAF,,0015e00000GWHRnAAP,Pavlova,Stella,Ms.,,,,,,,,,"1303 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5501,,(212) 842-5543,(212) 842-5589,spavlova@uog.com,"SVP, Production",Production,Audrey Haynes,Public Relations,1944-10-22,,,,,,,,,,,,,,,,,,
0035e00000CmVdnAAF,,0015e00000GWHRnAAP,Boyle,Lauren,Ms.,,,,,,,,,"1304 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5611,,,,lboyle@uog.com,"SVP, Technology",Technology,,Public Relations,1961-12-05,,,,,,,,,,,,,,,,,,
0035e00000CmVdoAAF,,0015e00000GWHRoAAP,Levy,Babara,Ms.,,,,,,,,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-5451,,,(503) 421-6782,b.levy@expressl&t.net,"SVP, Operations",Operations,Ron Sage,Word of mouth,1938-06-08,,,,,,,,,,,,,,,,,,Email: invalid email address: b.levy@expressl&amp;t.net
0035e00000CmVdpAAF,,0015e00000GWHRoAAP,Davis,Josh,Mr.,,,,,,,,,"621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-4387,,,,j.davis@expressl&t.net,"Director, Warehouse Mgmt",Warehouse Mgmt,,Word of mouth,1949-10-02,,,,,,,,,,,,,,,,,,Email: invalid email address: j.davis@expressl&amp;t.net
0035e00000CmVdqAAF,,0015e00000GWHRpAAP,Grey,Jane,Ms.,,,,,,,,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,,,,(520) 773-9050,(520) 773-9060,(520) 773-4539,,,,jane_gray@uoa.edu,Dean of Administration,Administration,,Word of mouth,1945-08-19,,,,,,,,,,,,,,,,,,
0035e00000CmVdrAAF,,0015e00000GWHRnAAP,Song,Arthur,Mr.,,,,,,,,,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-4535,,,(212) 842-5464,asong@uog.com,CEO,Executive Team,Pat Feinstein,Public Relations,1953-02-17,,,,,,,,,,,,,,,,,,
0035e00000CmVdsAAF,,0015e00000GWHRqAAP,James,Ashley,Ms.,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,+44 191 3456234,,,,ajames@uog.com,"VP, Finance",Finance,,Public Relations,1947-10-28,,,,,,,,,,,,,,,,,,
0035e00000CmVduAAF,,0015e00000GWHRrAAP,D'Cruz,Liz,Ms.,,,,,,,,,"10 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,(650) 345-6637,,,,ldcruz@uog.com,"VP, Production",Production,,Public Relations,1963-04-06,,,,,,,,,,,,,,,,,,
0035e00000CmVdvAAF,,0015e00000GWHRsAAP,Frank,Edna,Ms.,,,,,,,,,"345 Shoreline Park
Mountain View, CA 94043
USA",,,,,,,,(650) 867-3450,(650) 867-9895,(650) 867-7686,,,,efrank@genepoint.com,"VP, Technology",Technology,,Partner,1943-09-11,,,,,,,,,,,,,,,,,,
0035e00000CmVdwAAF,,0015e00000GWHRnAAP,Green,Avi,Mr.,,,,,,,,,"1302 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-2383,,,(212) 842-5428,agreen@uog.com,CFO,Finance,Chris Nobel,Public Relations,1935-01-29,,,,,,,,,,,,,,,,,,
0035e00000CmVdtAAF,,0015e00000GWHRrAAP,Ripley,Tom,Mr.,,,,,,,,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,(650) 345-7636,,,,tripley@uog.com,Regional General Manager,Executive Team,,Public Relations,1951-12-25,,,,,,,,,,,,,,,,,,
0035e00000CmVdfAAF,,0015e00000GWHRiAAP,Gonzalez,Rose,Ms.,,,,,,,,,"313 Constitution Place
Austin, TX 78767
USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-9340,,,,rose@edge.com,"SVP, Procurement",Procurement,,Trade Show,1969-07-01,,,,,,,,,,,,,,,,,,
0035e00000CmVdgAAF,,0015e00000GWHRiAAP,Forbes,Sean,Mr.,,,,,,,,,"312 Constitution Place
Austin, TX 78767
USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-4561,,,,sean@edge.com,CFO,Finance,,Trade Show,1948-03-29,,,,,,,,,,,,,,,,,,
